obs_ID,study_ID,year,es,var,meta_ID,note,note2,research_aim
obs_024,doPrado_2016,2016,0.428123132,0.078418679,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_025,doPrado_2016,2016,0.084044896,0.049944875,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_026,Gaun_2021,2021,-0.175022254,0.005491088,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_027,Gaun_2021,2021,0.308991038,0.003637991,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_028,Gaun_2021,2021,-0.249737141,0.006530928,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_029,Gaun_2021,2021,0.015830408,0.002160995,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_030,Gonzales-Pardo_2019,2019,0.011045057,0.00029368,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_031,Gonzales-Pardo_2019,2019,-0.079443905,0.02561961,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_032,Grace_2009,2009,0,0.013276465,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_033,Grace_2009,2009,-0.075701708,0.11546545,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_034,Hui_2011,2011,0.202524264,0.003605132,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_035,Hui_2011,2011,-0.126485973,0.001200226,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_036,Lui_2011,2011,-0.033136166,0.001783359,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_037,Lui_2011,2011,-0.030403708,0.047992311,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_038,Menezes_2020,2020,-0.086830048,0.007615957,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_039,Menezes_2020,2020,0.032648206,0.022497989,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_040,Menezes_2020,2020,-0.032128945,0.005173042,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_041,Menezes_2020,2020,-0.250612889,0.011063092,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_042,Menezes_2020,2020,0.189498662,0.036672414,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_043,Menezes_2020,2020,0.373250669,0.122664547,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_044,Menezes_2020,2020,-0.797855877,0.161709805,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_045,Menezes_2020,2020,0.474228858,0.015453994,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_046,Menezes_2020,2020,0.413795161,0.065110909,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_047,Mitra_2009,2009,-0.123562734,0.012921214,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_048,Mitra_2009,2009,0.16057345,0.014089451,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_049,Mitra_2009,2009,-0.43020613,0.017769154,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_050,Mohammadian_2018,2018,-0.10588622,0.00152886,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_051,Mohammadian_2018,2018,-0.109292611,0.00143193,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_052,Mohammadian_2018,2018,-0.159217188,0.050821976,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_053,Mohammadian_2018,2018,0.385751208,0.059747414,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_054,Molina_1_2016,2016,-0.388273687,0.023787403,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_055,Molina_1_2016,2016,-0.620844645,0.078141647,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_056,Molina_2_2019,2019,-0.620284524,0.044608042,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_057,Molina_2_2019,2019,0.088145222,0.049754294,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_058,Molina_2_2019,2019,-0.927394246,0.09379571,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_059,Molina_2_2019,2019,0.307860073,0.076590225,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_060,Molina_2_2019,2019,0.225419966,0.006849608,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_061,Molina_2_2019,2019,-0.071772169,0.02539612,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_062,Molina_2_2019,2019,0.053042417,0.005376098,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_063,Molina_2_2019,2019,0.085479946,0.008637673,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_064,Molina_1_2016,2016,0.407200456,0.60945855,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_065,Molina_1_2016,2016,0.04095066,0.012819023,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_066,Monteiro_2014,2014,-1.28652021,0.463296554,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_067,Nawaz_2018,2018,0.527122368,0.002046301,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_068,Nawaz_2018,2018,0.393203865,0.001370295,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_069,Novaes_2021,2021,0.255351722,0.007653243,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_070,Novaes_2021,2021,0.286896207,0.006405469,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_071,Rule_2020,2020,0.055606551,0.008329862,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_072,Rule_2020,2020,0.073197611,0.008453278,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_073,Shilpa_2017,2017,0.739523342,0.031827746,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_074,Shilpa_2017,2017,0.739238288,0.023585514,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_075,Sun_2016,2016,-0.227615669,0.003901605,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_076,vanderVeen_2015,2015,0.000789192,0.000441025,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_077,vanderVeen_2015,2015,0.009545738,0.000524801,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_078,vanderVeen_2015,2015,-0.026395669,0.00078045,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_079,vanderVeen_2015,2015,0.04185296,0.00369239,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_080,vanderVeen_2015,2015,0.010959182,0.000835492,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_081,vanderVeen_2015,2015,1.67E-16,0.002341173,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_082,Veena_2009,2009,0.994762347,0.045265354,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_083,Veena_2009,2009,0.645585769,0.032035273,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_084,Veena_2009,2009,-0.139763955,0.000838384,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_085,Veena_2009,2009,-0.123578017,0.001453369,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_086,Vivinetto_2013,2013,0.033602154,0.002234336,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_087,Vivinetto_2013,2013,-0.319731997,0.180896781,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_088,Vivinetto_2013,2013,-0.207223298,0.008004562,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_089,Vivinetto_2013,2013,0.245122458,0.280538927,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_090,Zubedat_2015,2015,-0.081884192,0.001266778,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_091,Zubedat_2015,2015,-0.302652301,0.001171153,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_092,Zubedat_2015,2015,0.360502528,0.001141895,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
