obs_ID,study_ID,year,Ntot,es,var,meta_ID,note,abs_Eff,research_aim
obs_042,Bors_Forrin_1996,1996,40,-0.1,0.1,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.1,animal
obs_043,Bors_Forrin_1996,1996,40,0.84,0.109,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.84,animal
obs_044,Bors_Forrin_1996,1996,40,-0.14,0.1,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.14,animal
obs_045,Bouet_et_al_2011,2011,28,1.11,0.165,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.11,animal
obs_046,Bouet_et_al_2011,2011,28,0.53,0.148,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.53,animal
obs_047,Brandao_et_al_2015,2015,29,0.39,0.141,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.39,animal
obs_048,Brown_et_al_2007,2007,8,-1.48,0.636,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.48,animal
obs_049,Brunson_et_al_2005,2005,19,0.67,0.228,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.67,animal
obs_050,Brunson_et_al_2005,2005,19,1.49,0.275,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.49,animal
obs_051,Brydges_Braithwaite_2009,2009,19,0.17,0.212,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.17,animal
obs_052,Brydges_Braithwaite_2009,2009,19,-0.11,0.211,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.11,animal
obs_053,Cabirol_et_al_2017,2017,80,0,0.05,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_054,Cabirol_et_al_2017,2017,80,0.2,0.05,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.2,animal
obs_055,Cabirol_et_al_2017,2017,83,0.1,0.049,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.1,animal
obs_056,Cabirol_et_al_2017,2017,83,-0.06,0.049,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.06,animal
obs_057,Cai_et_al_2009,2009,12,2.61,0.617,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.61,animal
obs_058,Cai_et_al_2009,2009,12,3.71,0.908,ma08_01,the_authors_used_abs_eff_in_their_analysis,3.71,animal
obs_059,Cai_et_al_2009,2009,12,4.61,1.22,ma08_01,the_authors_used_abs_eff_in_their_analysis,4.61,animal
obs_060,Cai_et_al_2009,2009,12,1.59,0.438,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.59,animal
obs_061,Capitanio_Mason_2000,2000,10,-1.3,0.485,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.3,animal
obs_062,Capitanio_Mason_2000,2000,10,-1.11,0.461,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.11,animal
obs_063,Capitanio_Mason_2000,2000,10,-1.16,0.467,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.16,animal
obs_064,Capitanio_Mason_2000,2000,10,-0.89,0.439,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.89,animal
obs_065,Capitanio_Mason_2000,2000,10,-0.12,0.401,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.12,animal
obs_066,Capitanio_Mason_2000,2000,10,-0.11,0.401,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.11,animal
obs_067,Carbia_Brown_2019,2019,28,-0.26,0.144,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.26,animal
obs_068,Carbia_Brown_2019,2019,28,1.1,0.165,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.1,animal
obs_069,Carbia_Brown_2019,2019,28,0.79,0.154,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.79,animal
obs_070,Chaby_et_al_2015,2015,24,-0.47,0.171,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.47,animal
obs_071,Chamizo_et_al_2016,2016,16,1.04,0.284,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.04,animal
obs_072,Chamizo_et_al_2016,2016,16,0.95,0.278,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.95,animal
obs_073,Choy_et_al_2008,2008,19,0.28,0.213,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.28,animal
obs_074,Choy_et_al_2008,2008,14,-0.06,0.286,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.06,animal
obs_075,Cortese_et_al_2018,2018,17,0.63,0.269,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.63,animal
obs_076,Cortese_et_al_2018,2018,17,1.83,0.356,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.83,animal
obs_077,Cortese_et_al_2018,2018,12,-0.25,0.336,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.25,animal
obs_078,Cortese_et_al_2018,2018,12,0.11,0.334,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.11,animal
obs_079,Cramer_et_al_1988,1988,24,-0.12,0.167,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.12,animal
obs_080,Cramer_et_al_1988,1988,24,0.77,0.179,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.77,animal
obs_081,Cramer_et_al_1988,1988,16,1.74,0.344,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.74,animal
obs_082,Cramer_et_al_1988,1988,16,1.96,0.37,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.96,animal
obs_083,Cramer_et_al_1988,1988,14,0.3,0.289,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_084,Cramer_et_al_1988,1988,14,0.3,0.289,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_085,Cui_et_al_2006,2006,16,0.89,0.275,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.89,animal
obs_086,Cui_et_al_2006,2006,16,0.39,0.255,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.39,animal
obs_087,D'Amato_et_al_2011,2011,26,0.02,0.155,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.02,animal
obs_088,D'Amato_et_al_2011,2011,28,0.63,0.15,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.63,animal
obs_089,D'Andrea_et_al_2007,2007,20,0.22,0.201,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.22,animal
obs_090,Dalesman_Lukowiak_2011,2011,27,-0.24,0.149,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.24,animal
obs_091,Dalesman_2018,2018,214,-0.05,0.019,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.05,animal
obs_092,Dandi_et_al_2018,2018,22,0.78,0.197,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.78,animal
obs_093,Dandi_et_al_2018,2018,23,0.39,0.18,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.39,animal
obs_094,Daniel_et_al_1999,1999,20,1.38,0.248,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.38,animal
obs_095,Daniel_et_al_1999,1999,20,1.03,0.227,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.03,animal
obs_096,de_Jong_et_al_2000,2000,48,-0.11,0.083,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.11,animal
obs_097,de_Jong_et_al_2000,2000,48,0.49,0.086,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.49,animal
obs_098,de_Jong_et_al_2000,2000,48,-0.29,0.084,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_099,de_Jong_et_al_2000,2000,48,0.33,0.084,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.33,animal
obs_100,Dickel_et_al_2000,2000,60,0.64,0.078,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.64,animal
obs_101,Dickel_et_al_2000,2000,80,0.05,0.05,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.05,animal
obs_102,Dickel_et_al_2000,2000,47,0.74,0.093,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.74,animal
obs_103,Dickel_et_al_2000,2000,55,-0.01,0.073,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.01,animal
obs_104,Dolivo_Taborsky_2017,2017,10,0,0.417,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_105,Dolivo_Taborsky_2017,2017,10,-0.56,0.432,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.56,animal
obs_106,Dolivo_Taborsky_2017,2017,10,0.41,0.425,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.41,animal
obs_107,Dolivo_Taborsky_2017,2017,10,0.47,0.428,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.47,animal
obs_108,Dolivo_Taborsky_2017,2017,10,0.24,0.42,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.24,animal
obs_109,Dolivo_Taborsky_2017,2017,10,0.03,0.417,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.03,animal
obs_110,Dolivo_Taborsky_2017,2017,10,-0.98,0.465,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.98,animal
obs_111,Dolivo_Taborsky_2017,2017,10,-0.32,0.422,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.32,animal
obs_112,Dolivo_Taborsky_2017,2017,10,0.65,0.438,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.65,animal
obs_113,Dolivo_Taborsky_2017,2017,10,0.62,0.436,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.62,animal
obs_114,Dolivo_Taborsky_2017,2017,10,0.22,0.419,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.22,animal
obs_115,Dolivo_Taborsky_2017,2017,10,0.45,0.427,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.45,animal
obs_116,do_Prado_et_al_2016,2016,21,0,0.191,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_117,do_Prado_et_al_2016,2016,23,0.56,0.181,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.56,animal
obs_118,do_Prado_et_al_2016,2016,17,-0.29,0.245,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_119,do_Prado_et_al_2016,2016,18,0,0.225,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_120,Druzian_et_al_2015,2015,16,-0.29,0.253,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_121,Druzian_et_al_2015,2015,16,-0.42,0.256,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.42,animal
obs_122,Druzian_et_al_2015,2015,15,-0.47,0.275,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.47,animal
obs_123,Escorihuela_et_al_1994,1994,20,0.69,0.212,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.69,animal
obs_124,Escorihuela_et_al_1994,1994,20,0.08,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.08,animal
obs_125,Escorihuela_et_al_1994,1994,20,0.35,0.203,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.35,animal
obs_126,Fares_et_al_2013,2013,24,0.02,0.167,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.02,animal
obs_127,Fares_et_al_2013,2013,24,0.42,0.17,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.42,animal
obs_128,Fitchett_et_al_2005,2005,10,1.21,0.489,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.21,animal
obs_129,Fitchett_et_al_2005,2005,11,0.65,0.386,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.65,animal
obs_130,Fitchett_et_al_2005,2005,10,2.05,0.626,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.05,animal
obs_131,Fitchett_et_al_2005,2005,11,-0.78,0.394,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.78,animal
obs_132,Forgus_1955b,1955,28,0.41,0.146,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.41,animal
obs_133,Forgus_1955b,1955,28,1.74,0.197,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.74,animal
obs_134,Forgus_1955a,1955,30,-1.85,0.19,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.85,animal
obs_135,Forgus_1955a,1955,30,2.66,0.251,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.66,animal
obs_136,Frankola_et_al_2010,2010,24,1.39,0.207,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.39,animal
obs_137,Frankola_et_al_2010,2010,24,-0.28,0.168,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.28,animal
obs_138,Freret_et_al_2012,2012,30,1.37,0.165,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.37,animal
obs_139,Frick_et_al_2003,2003,22,0.19,0.189,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.19,animal
obs_140,Frick_et_al_2003,2003,27,0.65,0.161,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.65,animal
obs_141,Frick_Fernandez_2003,2003,14,0.22,0.293,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.22,animal
obs_142,Frisone_et_al_2002,2002,48,-0.45,0.085,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.45,animal
obs_143,Fuchs_et_al_2016a,2016,28,1.27,0.172,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.27,animal
obs_144,Fuchs_et_al_2016a,2016,28,2.21,0.23,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.21,animal
obs_145,Fuchs_et_al_2016a,2016,28,0.26,0.144,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.26,animal
obs_146,Fuchs_et_al_2016b,2016,26,-0.2,0.156,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.2,animal
obs_147,Fuchs_et_al_2016b,2016,15,0.72,0.285,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.72,animal
obs_148,Fuchs_et_al_2016b,2016,24,0.7,0.177,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.7,animal
obs_149,Fuchs_et_al_2016b,2016,18,0.97,0.251,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.97,animal
obs_150,Gaillard_et_al_2014,2014,16,0.45,0.256,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.45,animal
obs_151,Gaillard_et_al_2014,2014,15,0.27,0.27,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.27,animal
obs_152,Garner_et_al_2007,2007,12,0.73,0.355,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.73,animal
obs_153,Garner_et_al_2007,2007,12,0.8,0.36,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.8,animal
obs_154,Garoflos_et_al_2005,2005,16,0.26,0.252,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.26,animal
obs_155,Garrido_et_al_2013,2013,24,1.25,0.199,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.25,animal
obs_156,Garrido_et_al_2013,2013,20,3.17,0.453,ma08_01,the_authors_used_abs_eff_in_their_analysis,3.17,animal
obs_157,Garthe_et_al_2016,2016,20,1.88,0.289,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.88,animal
obs_158,Garthe_et_al_2016,2016,20,5.62,0.989,ma08_01,the_authors_used_abs_eff_in_their_analysis,5.62,animal
obs_159,Girden_1983,1983,60,0.06,0.067,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.06,animal
obs_160,Girden_1983,1983,40,0.49,0.103,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.49,animal
obs_161,Girden_1983,1983,40,-0.06,0.1,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.06,animal
obs_162,Glasper_et_al_2015,2015,24,-0.61,0.175,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.61,animal
obs_163,Glasper_et_al_2015,2015,24,0.41,0.171,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.41,animal
obs_164,Glasper_et_al_2015,2015,24,-0.05,0.168,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.05,animal
obs_165,Glasper_et_al_2015,2015,24,-0.15,0.168,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.15,animal
obs_166,Glasper_et_al_2015,2015,24,0.7,0.178,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.7,animal
obs_167,Goeckner_et_al_1973,1973,15,-1.02,0.303,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.02,animal
obs_168,Goeckner_et_al_1973,1973,16,-0.87,0.274,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.87,animal
obs_169,Goeckner_et_al_1973,1973,16,-0.61,0.261,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.61,animal
obs_170,Goeckner_et_al_1973,1973,16,-0.5,0.258,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.5,animal
obs_171,Goeckner_et_al_1973,1973,15,-0.5,0.276,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.5,animal
obs_172,Goeckner_et_al_1973,1973,16,-1.85,0.357,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.85,animal
obs_173,Goeckner_et_al_1973,1973,16,-1.98,0.372,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.98,animal
obs_174,Goeckner_et_al_1973,1973,16,-2.07,0.384,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.07,animal
obs_175,Goldberg_et_al_1973,1973,40,-0.01,0.1,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.01,animal
obs_176,Goldberg_et_al_1973,1973,40,0.28,0.101,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.28,animal
obs_177,Goldberg_et_al_1973,1973,40,0.02,0.1,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.02,animal
obs_178,Grace_et_al_2009,2009,20,-0.07,0.202,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.07,animal
obs_179,Grace_et_al_2009,2009,18,1.23,0.264,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.23,animal
obs_180,Green_McCormick_2013,2013,32,-0.37,0.127,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.37,animal
obs_181,Green_McCormick_2013,2013,32,0.1,0.125,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.1,animal
obs_182,Greenough_et_al_1972,1972,20,0.84,0.218,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.84,animal
obs_183,Greenough_et_al_1972,1972,20,0.04,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.04,animal
obs_184,Greenough_et_al_1972,1972,20,0.96,0.223,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.96,animal
obs_185,Greenough_et_al_1972,1972,20,0.3,0.202,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_186,Greenough_et_al_1972,1972,22,0.33,0.184,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.33,animal
obs_187,Greenough_et_al_1972,1972,22,0.9,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.9,animal
obs_188,Grigoryan_et_al_2010,2010,30,-1.07,0.152,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.07,animal
obs_189,Grigoryan_et_al_2010,2010,28,-0.45,0.147,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.45,animal
obs_190,Grigoryan_et_al_2010,2010,28,-0.48,0.148,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.48,animal
obs_191,Grigoryan_et_al_2010,2010,28,-0.44,0.147,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.44,animal
obs_192,Grigoryan_et_al_2010,2010,30,-0.42,0.136,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.42,animal
obs_193,Grigoryan_et_al_2010,2010,28,-0.32,0.145,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.32,animal
obs_194,Gupta_et_al_2017,2017,60,0.63,0.078,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.63,animal
obs_195,Gupta_et_al_2017,2017,60,-0.25,0.076,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.25,animal
obs_196,Gupta_et_al_2017,2017,60,0.11,0.075,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.11,animal
obs_197,Gupta_et_al_2017,2017,60,1.89,0.105,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.89,animal
obs_198,Gupta_et_al_2017,2017,60,0.2,0.075,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.2,animal
obs_199,Gupta_et_al_2017,2017,60,0.04,0.075,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.04,animal
obs_200,Hacquemand_et_al_2012,2012,20,1.46,0.253,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.46,animal
obs_201,Hacquemand_et_al_2012,2012,20,-0.57,0.208,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.57,animal
obs_202,Hacquemand_et_al_2012,2012,20,0.23,0.201,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.23,animal
obs_203,Hacquemand_et_al_2012,2012,20,-0.11,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.11,animal
obs_204,Han_et_al_2011,2011,18,-0.24,0.224,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.24,animal
obs_205,Han_et_al_2011,2011,18,-0.06,0.222,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.06,animal
obs_206,Harati_et_al_2013,2013,22,0.58,0.189,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.58,animal
obs_207,Harati_et_al_2013,2013,20,1.1,0.23,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.1,animal
obs_208,Harati_et_al_2013,2013,16,1.64,0.334,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.64,animal
obs_209,Harati_et_al_2011,2011,23,0.36,0.18,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.36,animal
obs_210,Harati_et_al_2011,2011,28,1,0.161,ma08_01,the_authors_used_abs_eff_in_their_analysis,1,animal
obs_211,Harati_et_al_2011,2011,15,0.84,0.301,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.84,animal
obs_212,Harburger_et_al_2007,2007,25,0.41,0.17,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.41,animal
obs_213,Harburger_et_al_2007,2007,30,0.24,0.135,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.24,animal
obs_214,Harburger_et_al_2007,2007,30,1.15,0.156,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.15,animal
