"Table S3. Leave-one-meta-analysis-model-out influence on the meta-analysis-level summaries.

Each of the 48 meta-analytic models is removed in turn and the summary recomputed from the remaining 47, for each of the four assumed effects, each of the three metrics,
and both weightings. `change_pct` is the percentage change in the summary caused by removing that model, and `influence_rank` orders the 48 models by the absolute size of that change within each specification, metric and weighting;
rows are sorted so that the most influential model appears first in each block.
Single-model leverage is largely a property of the weighting rather than of any model: weighting by effect-size count gives one model 22.6% of the weight and it moves the bias-robust power summary by 44.7%,
whereas under equal weighting no model moves any power summary by more than 5.1%.
The contrast is smaller but in the same direction for Type M error (34.3% against 14.3%) and for Type S error (78.0% against 34.9%), which are more sensitive to individual models because both diverge as the assumed effect approaches zero.
Nothing is excluded from any reported analysis; this is an influence diagnostic. Companion to Table S4, which removes a source paper at a time.",,,,,,,,,
,,,,,,,,,
specification,weighting,metric,dropped_model,n_effect_sizes_contributed,pct_of_effect_sizes,summary_all_48_models,summary_without,change_pct,influence_rank
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA13_03,14,0.2,0.3827,0.3819,-0.2,38
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA41_01,110,1.9,0.3827,0.3835,0.2,39
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA06_02,13,0.2,0.3827,0.3819,-0.2,40
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA15_03,11,0.2,0.3827,0.382,-0.2,41
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA45_02,11,0.2,0.3827,0.382,-0.2,42
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA15_02,9,0.2,0.3827,0.3821,-0.2,43
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA15_04,11,0.2,0.3827,0.3821,-0.2,44
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA05_02,16,0.3,0.3827,0.3823,-0.1,45
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA15_01,5,0.1,0.3827,0.3824,-0.1,46
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA17,66,1.1,0.3827,0.3825,-0.1,47
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA05_03,4,0.1,0.3827,0.3826,0,48
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA09,1297,22.6,2.0113,1.3211,-34.3,1
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA31,734,12.8,2.0113,2.2266,10.7,2
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA34,555,9.7,2.0113,2.1675,7.8,3
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA08,531,9.3,2.0113,2.1597,7.4,4
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA41_02,184,3.2,2.0113,1.8677,-7.1,5
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA26,459,8,2.0113,2.1364,6.2,6
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA14_02,167,2.9,2.0113,2.0538,2.1,7
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA24,139,2.4,2.0113,2.0463,1.7,8
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA41_03,129,2.2,2.0113,2.0388,1.4,9
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA14_01,104,1.8,2.0113,2.037,1.3,10
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA28_01,84,1.5,2.0113,2.0322,1,11
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA28_02,84,1.5,2.0113,2.0322,1,12
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA41_04,104,1.8,2.0113,2.0314,1,13
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA22_02,92,1.6,2.0113,1.9922,-0.9,14
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA12,70,1.2,2.0113,2.0249,0.7,15
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA47_1,65,1.1,2.0113,1.9982,-0.6,16
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA25,43,0.7,2.0113,2.0214,0.5,17
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA22_01,92,1.6,2.0113,2.0018,-0.5,18
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA47_2,38,0.7,2.0113,2.0206,0.5,19
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA13_01,43,0.7,2.0113,2.02,0.4,20
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA45_01,28,0.5,2.0113,2.0182,0.3,21
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA41_01,110,1.9,2.0113,2.0182,0.3,22
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA10,32,0.6,2.0113,2.0178,0.3,23
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA17,66,1.1,2.0113,2.0171,0.3,24
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA23,24,0.4,2.0113,2.0171,0.3,25
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA18,23,0.4,2.0113,2.0169,0.3,26
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA13_02,37,0.6,2.0113,2.0167,0.3,27
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA01_01,22,0.4,2.0113,2.0167,0.3,28
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA05_01,17,0.3,2.0113,2.006,-0.3,29
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA21,11,0.2,2.0113,2.0061,-0.3,30
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA39_2,15,0.3,2.0113,2.0072,-0.2,31
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA01_03,16,0.3,2.0113,2.0152,0.2,32
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA06_01,33,0.6,2.0113,2.0075,-0.2,33
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA01_02,14,0.2,2.0113,2.0147,0.2,34
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA20_cleaned,29,0.5,2.0113,2.0078,-0.2,35
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA13_03,14,0.2,2.0113,2.0145,0.2,36
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA32,13,0.2,2.0113,2.0144,0.2,37
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA06_02,13,0.2,2.0113,2.0142,0.1,38
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA15_03,11,0.2,2.0113,2.014,0.1,39
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA45_02,11,0.2,2.0113,2.0139,0.1,40
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA43,13,0.2,2.0113,2.0088,-0.1,41
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA15_04,11,0.2,2.0113,2.0136,0.1,42
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA15_02,9,0.2,2.0113,2.0135,0.1,43
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA05_02,16,0.3,2.0113,2.0135,0.1,44
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA15_01,5,0.1,2.0113,2.0123,0.1,45
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA05_03,4,0.1,2.0113,2.0119,0,46
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA39_1,37,0.6,2.0113,2.0116,0,47
Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,MA22_03,92,1.6,2.0113,2.0111,0,48
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA09,1297,22.6,0.023,0.0051,-78,1
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA31,734,12.8,0.023,0.0279,21,2
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA34,555,9.7,0.023,0.0265,15.1,3
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA08,531,9.3,0.023,0.0263,14.4,4
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA41_02,184,3.2,0.023,0.0198,-13.9,5
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA26,459,8,0.023,0.0258,12.2,6
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA14_02,167,2.9,0.023,0.024,4.1,7
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA24,139,2.4,0.023,0.0238,3.4,8
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA41_03,129,2.2,0.023,0.0238,3.2,9
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA41_01,110,1.9,0.023,0.0236,2.6,10
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA14_01,104,1.8,0.023,0.0236,2.5,11
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA41_04,104,1.8,0.023,0.0236,2.5,12
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA28_01,84,1.5,0.023,0.0235,2,13
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA28_02,84,1.5,0.023,0.0235,2,13
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA22_03,92,1.6,0.023,0.0235,1.9,15
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA12,70,1.2,0.023,0.0234,1.7,16
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA17,66,1.1,0.023,0.0234,1.6,17
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA22_02,92,1.6,0.023,0.0228,-1.1,18
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA25,43,0.7,0.023,0.0233,1,19
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA13_01,43,0.7,0.023,0.0233,1,20
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA47_2,38,0.7,0.023,0.0232,0.9,21
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA13_02,37,0.6,0.023,0.0232,0.9,22
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA22_01,92,1.6,0.023,0.0232,0.8,23
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA39_1,37,0.6,0.023,0.0232,0.8,24
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA10,32,0.6,0.023,0.0232,0.8,25
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA47_1,65,1.1,0.023,0.0229,-0.7,26
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA45_01,28,0.5,0.023,0.0232,0.7,27
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA21,11,0.2,0.023,0.0229,-0.6,28
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA23,24,0.4,0.023,0.0232,0.6,29
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA18,23,0.4,0.023,0.0232,0.5,30
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA05_01,17,0.3,0.023,0.0229,-0.5,31
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA01_01,22,0.4,0.023,0.0232,0.5,32
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA01_03,16,0.3,0.023,0.0231,0.4,33
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA05_02,16,0.3,0.023,0.0231,0.4,34
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA39_2,15,0.3,0.023,0.0229,-0.4,35
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA01_02,14,0.2,0.023,0.0231,0.3,36
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA13_03,14,0.2,0.023,0.0231,0.3,37
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA32,13,0.2,0.023,0.0231,0.3,38
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA06_02,13,0.2,0.023,0.0231,0.3,39
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA15_03,11,0.2,0.023,0.0231,0.3,40
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA45_02,11,0.2,0.023,0.0231,0.3,41
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA15_04,11,0.2,0.023,0.0231,0.3,42
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA15_02,9,0.2,0.023,0.0231,0.2,43
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA06_01,33,0.6,0.023,0.0231,0.2,44
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA20_cleaned,29,0.5,0.023,0.0231,0.2,45
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA15_01,5,0.1,0.023,0.0231,0.1,46
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA43,13,0.2,0.023,0.023,-0.1,47
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA05_03,4,0.1,0.023,0.0231,0.1,48
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA15_04,11,0.2,0.5693,0.5986,5.1,1
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA39_2,15,0.3,0.5693,0.5984,5.1,2
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA21,11,0.2,0.5693,0.5887,3.4,3
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA05_01,17,0.3,0.5693,0.586,2.9,4
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA43,13,0.2,0.5693,0.5847,2.7,5
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA39_1,37,0.6,0.5693,0.5842,2.6,6
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA22_03,92,1.6,0.5693,0.5803,1.9,7
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA22_02,92,1.6,0.5693,0.5803,1.9,8
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA20_cleaned,29,0.5,0.5693,0.5788,1.7,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA22_01,92,1.6,0.5693,0.5776,1.4,10
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA06_01,33,0.6,0.5693,0.5769,1.3,11
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA13_02,37,0.6,0.5693,0.5763,1.2,12
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA45_01,28,0.5,0.5693,0.5626,-1.2,13
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA01_01,22,0.4,0.5693,0.5626,-1.2,14
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA28_01,84,1.5,0.5693,0.5626,-1.2,15
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA28_02,84,1.5,0.5693,0.5626,-1.2,16
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA01_02,14,0.2,0.5693,0.5626,-1.2,17
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA15_02,9,0.2,0.5693,0.5626,-1.2,18
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA01_03,16,0.3,0.5693,0.5626,-1.2,19
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA08,531,9.3,0.5693,0.5626,-1.2,20
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA31,734,12.8,0.5693,0.5626,-1.2,21
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA18,23,0.4,0.5693,0.5626,-1.2,22
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA34,555,9.7,0.5693,0.5626,-1.2,23
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA09,1297,22.6,0.5693,0.5626,-1.2,24
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA45_02,11,0.2,0.5693,0.5626,-1.2,25
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA24,139,2.4,0.5693,0.5626,-1.2,26
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA14_02,167,2.9,0.5693,0.5626,-1.2,27
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA15_03,11,0.2,0.5693,0.5626,-1.2,28
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA25,43,0.7,0.5693,0.5626,-1.2,29
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA32,13,0.2,0.5693,0.5626,-1.2,30
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA47_2,38,0.7,0.5693,0.5627,-1.2,31
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA14_01,104,1.8,0.5693,0.5627,-1.2,32
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA26,459,8,0.5693,0.5629,-1.1,33
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA12,70,1.2,0.5693,0.5629,-1.1,34
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA13_03,14,0.2,0.5693,0.5633,-1.1,35
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA41_04,104,1.8,0.5693,0.5636,-1,36
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA41_01,110,1.9,0.5693,0.5637,-1,37
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA06_02,13,0.2,0.5693,0.564,-0.9,38
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA23,24,0.4,0.5693,0.5642,-0.9,39
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA17,66,1.1,0.5693,0.5744,0.9,40
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA41_02,184,3.2,0.5693,0.574,0.8,41
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA13_01,43,0.7,0.5693,0.5648,-0.8,42
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA15_01,5,0.1,0.5693,0.5736,0.7,43
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA10,32,0.6,0.5693,0.5652,-0.7,44
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA41_03,129,2.2,0.5693,0.5668,-0.5,45
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA05_02,16,0.3,0.5693,0.5671,-0.4,46
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA47_1,65,1.1,0.5693,0.5714,0.4,47
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA05_03,4,0.1,0.5693,0.5682,-0.2,48
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA15_04,11,0.2,1.3891,1.3252,-4.6,1
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA39_2,15,0.3,1.3891,1.3283,-4.4,2
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA21,11,0.2,1.3891,1.3645,-1.8,3
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA05_01,17,0.3,1.3891,1.3691,-1.4,4
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA43,13,0.2,1.3891,1.3712,-1.3,5
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA39_1,37,0.6,1.3891,1.3719,-1.2,6
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA22_03,92,1.6,1.3891,1.3773,-0.8,7
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA22_02,92,1.6,1.3891,1.3774,-0.8,8
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA20_cleaned,29,0.5,1.3891,1.3792,-0.7,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA45_01,28,0.5,1.3891,1.3988,0.7,10
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA01_01,22,0.4,1.3891,1.3988,0.7,11
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA28_01,84,1.5,1.3891,1.3988,0.7,12
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA28_02,84,1.5,1.3891,1.3988,0.7,13
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA01_02,14,0.2,1.3891,1.3988,0.7,14
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA15_02,9,0.2,1.3891,1.3988,0.7,15
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA01_03,16,0.3,1.3891,1.3988,0.7,16
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA08,531,9.3,1.3891,1.3988,0.7,17
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA31,734,12.8,1.3891,1.3988,0.7,18
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA18,23,0.4,1.3891,1.3988,0.7,19
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA34,555,9.7,1.3891,1.3988,0.7,20
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA09,1297,22.6,1.3891,1.3988,0.7,21
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA45_02,11,0.2,1.3891,1.3988,0.7,22
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA24,139,2.4,1.3891,1.3988,0.7,23
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA14_02,167,2.9,1.3891,1.3988,0.7,24
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA15_03,11,0.2,1.3891,1.3988,0.7,25
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA25,43,0.7,1.3891,1.3988,0.7,26
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA32,13,0.2,1.3891,1.3987,0.7,27
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA47_2,38,0.7,1.3891,1.3987,0.7,28
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA14_01,104,1.8,1.3891,1.3986,0.7,29
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA26,459,8,1.3891,1.3983,0.7,30
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA12,70,1.2,1.3891,1.3983,0.7,31
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA13_03,14,0.2,1.3891,1.3978,0.6,32
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA41_04,104,1.8,1.3891,1.3974,0.6,33
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA22_01,92,1.6,1.3891,1.3808,-0.6,34
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA41_01,110,1.9,1.3891,1.3972,0.6,35
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA06_02,13,0.2,1.3891,1.3968,0.6,36
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA23,24,0.4,1.3891,1.3966,0.5,37
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA06_01,33,0.6,1.3891,1.3817,-0.5,38
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA13_01,43,0.7,1.3891,1.3959,0.5,39
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA13_02,37,0.6,1.3891,1.3823,-0.5,40
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA10,32,0.6,1.3891,1.3954,0.5,41
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA41_03,129,2.2,1.3891,1.3935,0.3,42
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA17,66,1.1,1.3891,1.3847,-0.3,43
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA05_02,16,0.3,1.3891,1.3931,0.3,44
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA41_02,184,3.2,1.3891,1.3851,-0.3,45
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA15_01,5,0.1,1.3891,1.3856,-0.3,46
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA05_03,4,0.1,1.3891,1.3919,0.2,47
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA47_1,65,1.1,1.3891,1.3881,-0.1,48
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA15_04,11,0.2,0.0042,0.0027,-34.9,1
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA39_2,15,0.3,0.0042,0.0027,-34,2
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA21,11,0.2,0.0042,0.0038,-8.8,3
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA05_01,17,0.3,0.0042,0.004,-4.5,4
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA43,13,0.2,0.0042,0.004,-2.8,5
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA39_1,37,0.6,0.0042,0.0041,-2.3,6
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA34,555,9.7,0.0042,0.0043,2.3,7
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA45_01,28,0.5,0.0042,0.0043,2.3,7
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA01_01,22,0.4,0.0042,0.0043,2.3,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA01_02,14,0.2,0.0042,0.0043,2.3,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA01_03,16,0.3,0.0042,0.0043,2.3,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA08,531,9.3,0.0042,0.0043,2.3,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA15_02,9,0.2,0.0042,0.0043,2.3,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA28_01,84,1.5,0.0042,0.0043,2.3,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA28_02,84,1.5,0.0042,0.0043,2.3,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA31,734,12.8,0.0042,0.0043,2.3,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA18,23,0.4,0.0042,0.0043,2.3,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA09,1297,22.6,0.0042,0.0043,2.3,18
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA45_02,11,0.2,0.0042,0.0043,2.3,19
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA24,139,2.4,0.0042,0.0043,2.3,20
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA14_02,167,2.9,0.0042,0.0043,2.3,21
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA15_03,11,0.2,0.0042,0.0043,2.3,22
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA25,43,0.7,0.0042,0.0043,2.3,23
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA32,13,0.2,0.0042,0.0043,2.3,24
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA47_2,38,0.7,0.0042,0.0043,2.3,25
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA14_01,104,1.8,0.0042,0.0043,2.3,26
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA26,459,8,0.0042,0.0043,2.3,27
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA12,70,1.2,0.0042,0.0043,2.3,28
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA13_03,14,0.2,0.0042,0.0043,2.3,29
