obs_ID,study_ID,year,ntot,es,var,meta_ID,note,research_aim
obs_022,Benson-Amram_etal_2016,2016,5,0,0.5,ma47_01,NA,animal
obs_023,Day_etal_2003,2003,14,-0.06,0.0909,ma47_01,NA,animal
obs_024,Day_etal_2003,2003,26,0.15,0.0909,ma47_01,NA,animal
obs_025,Day_etal_2003,2003,19,0.73,0.0625,ma47_01,NA,animal
obs_026,Benson-Amram_etal_2016,2016,6,0,0.3333,ma47_01,NA,animal
obs_027,Benson-Amram_etal_2016,2016,8,1.21,0.2,ma47_01,NA,animal
obs_028,Benson-Amram_etal_2016,2016,7,0.66,0.25,ma47_01,NA,animal
obs_029,Biondi_etal_2010,2010,18,-0.41,0.0667,ma47_01,NA,animal
obs_030,Benson-Amram_etal_2016,2016,6,-0.05,0.3333,ma47_01,NA,animal
obs_031,Gajdon_etal_2006,2006,5,0.45,0.5,ma47_01,NA,animal
obs_032,Gajdon_etal_2006,2006,35,0.3,0.0313,ma47_01,NA,animal
obs_033,Gajdon_etal_2006,2006,23,0.05,0.05,ma47_01,NA,animal
obs_034,Benson-Amram_etal_2016,2016,5,0,0.5,ma47_01,NA,animal
obs_035,Biro_etal_2003,2003,67,-0.01,0.0369,ma47_01,NA,animal
obs_036,Benson-Amram_etal_2016,2016,5,0,0.5,ma47_01,NA,animal
obs_037,Benson-Amram_etal_2016,2016,6,0,0.3333,ma47_01,NA,animal
obs_038,Benson-Amram_etal_2016,2016,18,-0.2,0.0667,ma47_01,NA,animal
obs_039,Cole_etal_2011,2011,509,-0.07,0.002,ma47_01,NA,animal
obs_040,Morand-Ferron_Quinn_2011,2011,173,-0.11,0.0059,ma47_01,es and var came from two primary papers (Morand-Ferron_Quinn_2011 and Morand-Ferron_etal_2011),animal
obs_041,Cole_etal_2011,2011,509,0.06,0.002,ma47_01,NA,animal
obs_042,Morand-Ferron_Quinn_2011,2011,153,-0.04,0.007,ma47_01,es and var came from two primary papers (Morand-Ferron_Quinn_2011 and Morand-Ferron_etal_2011),animal
obs_043,Cole_etal_2011,2011,509,-0.01,0.002,ma47_01,NA,animal
obs_044,Morand-Ferron_Quinn_2011,2011,94,-0.07,0.011,ma47_01,es and var came from two primary papers (Morand-Ferron_Quinn_2011 and Morand-Ferron_etal_2011),animal
obs_045,Papp_etal_2015,2015,104,0.21,0.0099,ma47_01,NA,animal
obs_046,Laland_etal_1999b,1999,35.5,0.55,0.0308,ma47_01,NA,animal
obs_047,Laland_etal_1999a,1999,32,0.37,0.035,ma47_01,NA,animal
obs_048,Laland_etal_1999b,1999,35.5,-0.4,0.031,ma47_01,NA,animal
obs_049,Benson-Amram_etal_2016,2016,12,0.69,0.1111,ma47_01,NA,animal
obs_050,Benson-Amram_etal_2016,2016,6,0,0.3333,ma47_01,NA,animal
obs_051,Overington_etal_2011,2011,69,-0.19,0.0588,ma47_01,NA,animal
obs_052,Dindo_etal_2009,2009,16,0.28,0.0769,ma47_01,NA,animal
obs_053,Dindo_etal_2009,2009,16,0.47,0.0769,ma47_01,NA,animal
obs_054,Garber_etal_2012,2012,6,0.15,0.3333,ma47_01,NA,animal
obs_055,Garber_etal_2012,2012,6,0.62,0.3333,ma47_01,NA,animal
obs_056,Griffin_etal_2014,2014,39,-0.22,0.0278,ma47_01,NA,animal
obs_057,Griffin_etal_2014,2014,39,-0.25,0.0278,ma47_01,NA,animal
obs_058,Boogert_etal_2006,2006,15,0.81,0.0833,ma47_01,NA,animal
obs_059,Thornton_etal_2012,2012,63,-0.39,0.0167,ma47_01,NA,animal
obs_060,Thornton_etal_2012,2012,63,0.15,0.0167,ma47_01,NA,animal
obs_061,Thornton_etal_2012,2012,63,0.02,0.0167,ma47_01,NA,animal
obs_062,Benson-Amram_etal_2016,2016,6,-0.48,0.3333,ma47_01,NA,animal
obs_063,Dean_etal_2011,2011,43,-0.45,0.025,ma47_01,NA,animal
obs_064,Benson-Amram_etal_2016,2016,4,0.48,1,ma47_01,NA,animal
obs_065,Boogert_etal_2010,2010,8,-0.53,0.2,ma47_01,NA,animal
