"Author","Title","Year","Journal","Location","Taxonomic_group_class","Taxonomic_order","Taxonomic_group_species","Primates","Mammals_Aves_Other","Measure_of_cognition","Measure_of_sociality","Cognitive_Ability_neuroanatomy_or_both","Cognitive_Ability_detailed","Sociality","Intra_inter_both","Captive_or_wild","Stats","Sample_size","Sample_size_species","Design","r","reverse","Sample_size_group1","Sample_size_group2","mean_grp1","dispersion_grp1","mean_grp2","dispersion_grp2","dispersion_type","ci_T","proportion_grp1","proportion_grp2","F","T","df","dferror","D","v","pearsonr_p","z","Source","Shared_control","Shared_treatment","paperid","studyid","esid","data_source","data_page","source_ref","figure_name","yi","CI","CI_low","CI_high","sd1","sd2","study","weight","sample.size","se","var","ci.lo","ci.hi","fishers.z","ci.lo.z","ci.hi.z","measure","vi","yi_zr","se_zr","vi_zr"
"Fischer et al","Rearing-Group Size Determines Social Competence and Brain Structure in a Cooperatively Breeding Cichlid",2015,"American Naturalist","Bern, Switzerland","Actinopterygii","Cichliformes","Neolamprologus pulcher","Other","Other","Cerebellum","Rearing Group Size","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",12,1,"Developmental",NA,"no",8,4,0.00241071428571428,0.00328299576979469,-0.00473214285714286,0.00589285714285714,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper104","study106","es571","figure","131","3b","paper104_study106_es571_3b",0.622056899930895,NA,NA,NA,0.00328299576979469,0.00589285714285714,"",10.1213098040392,12,0.314326966147506,0.0988014416474955,0.11181428570359,0.872730476749037,0.728353329397082,0.112283796378229,1.34442286241593,"r",NA,0.728353329397082,0.333333333333333,0.111111111111111
"Fischer et al","Rearing-Group Size Determines Social Competence and Brain Structure in a Cooperatively Breeding Cichlid",2015,"American Naturalist","Bern, Switzerland","Actinopterygii","Cichliformes","Neolamprologus pulcher","Other","Other","Optic Tectum","Rearing Group Size","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",12,1,"Developmental",NA,"no",8,4,-0.00492125984251968,0.00835165489590411,0.0100787401574803,0.0160629921259842,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper104","study106","es572","figure","131","3c","paper104_study106_es572_3c",-0.532652333571638,NA,NA,NA,0.00835165489590411,0.0160629921259842,"",11.0162798944738,12,0.301288474982179,0.0907747451570868,-0.82882002217097,-0.00332623603971455,-0.593840808228851,-1.18435536815092,-0.00332624830678396,"r",NA,-0.593840808228851,0.333333333333333,0.111111111111111
"Fischer et al","Rearing-Group Size Determines Social Competence and Brain Structure in a Cooperatively Breeding Cichlid",2015,"American Naturalist","Bern, Switzerland","Actinopterygii","Cichliformes","Neolamprologus pulcher","Other","Other","Dorsal Medulla","Rearing Group Size","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",12,1,"Developmental",NA,"no",8,4,-0.00149180327868852,0.0062596338006678,0.00308196721311476,0.00649180327868852,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper104","study106","es573","figure","131","3d","paper104_study106_es573_3d",-0.322416776426178,NA,NA,NA,0.0062596338006678,0.00649180327868852,"",12.3420887484168,12,0.28464638162798,0.0810235625739017,-0.712497649317185,0.219903527617495,-0.334341924170469,-0.892238580490954,0.223554732150016,"r",NA,-0.334341924170469,0.333333333333333,0.111111111111111
"Fischer et al","Rearing-Group Size Determines Social Competence and Brain Structure in a Cooperatively Breeding Cichlid",2015,"American Naturalist","Bern, Switzerland","Actinopterygii","Cichliformes","Neolamprologus pulcher","Other","Other","Social Competence Submission","Rearing Group Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",18,1,"Developmental",NA,"no",9,9,0.718241042345278,1.58306188925082,-0.698697068403908,1.46579804560261,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper104","study106","es574","figure","128","2d","paper104_study106_es574_2d",0.421196745000926,NA,NA,NA,1.58306188925082,1.46579804560261,"",17.247924778126,18,0.240786190223659,0.0579779894024241,-0.0227823402827816,0.726407101187515,0.449145977691363,-0.0227862831216187,0.921078238504346,"r",NA,0.449145977691363,0.258198889747161,0.0666666666666667
"Fitchett et al","Corticosterone differences rather than social housing predict performance of T-maze alternation in male CD-I mice",2009,"Animal Welfare","Nottingham, UK","Mammalia","Rodentia","Mus musculus","Other","Mammalia","Spatial Learning (T maze)","Housing Group Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",28,1,"Developmental",NA,"no",18,10,3.79755434782609,1.0087800546819,3.79076086956522,1.05266036242018,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper28","study29","es139","figure","36","3","paper28_study29_es139_3",0.00317827160419014,NA,NA,NA,1.0087800546819,1.05266036242018,"",28.9998585795403,28,0.185695790956641,0.0344829267790123,-0.345899820331797,0.351483490841835,0.00317828230593033,-0.360778780049764,0.367135344661624,"r",NA,0.00317828230593033,0.2,0.04
"Fitchett et al","Corticosterone differences rather than social housing predict performance of T-maze alternation in male CD-I mice",2009,"Animal Welfare","Nottingham, UK","Mammalia","Rodentia","Mus musculus","Other","Mammalia","Spatial Learning (T maze)","Housing Group Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",34,1,"Developmental",NA,"no",18,16,3.79333333333333,0.989949493661167,3.48,0.986666666666668,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper28","study29","es140","figure","36","3","paper28_study29_es140_3",0.156284627442429,NA,NA,NA,0.989949493661167,0.986666666666668,"",34.5796433777973,34,0.170055132851124,0.0289187482090135,-0.17393920232483,0.454912975224906,0.157576017511853,-0.175725918262524,0.490877953286231,"r",NA,0.157576017511853,0.179605302026775,0.032258064516129
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","Song Learning","Brood Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",32,1,"Developmental",NA,"no",20,12,0.89,0.03,0.84,0.06,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es151","table","1611","a1",NA,0.145111136742398,NA,NA,NA,0.134164078649987,0.207846096908265,"",32.6594991232102,32,0.17498275099385,0.0306189631453756,-0.194314543315624,0.453503918175858,0.146142748970585,-0.1968171408931,0.489102638834271,"r",NA,0.146142748970585,0.185695338177052,0.0344827586206897
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","Brain Mass","Brood Size","Neuroanatomy","brain size absolute","Groupsize","Intra","Captive","mean",32,1,"Developmental",NA,"no",20,12,487.2,6.06,475.1,12.3,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es152","table","1611","a1",NA,0.171612489789047,NA,NA,NA,27.1011438872975,42.6084498661944,"",32.5217439304928,32,0.175352954247269,0.0307486585632447,-0.16872874213142,0.475391417026876,0.173327611473336,-0.170357863434011,0.517013086380682,"r",NA,0.173327611473336,0.185695338177052,0.0344827586206897
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","HVC (High Vocal Centre)","Brood Size","Neuroanatomy","brain region absolute","Groupsize","Intra","Captive","mean",32,1,"Developmental",NA,"no",20,12,0.31,0.01,0.32,0.02,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es153","table","1611","a1",NA,-0.0876593622622263,NA,NA,NA,0.0447213595499958,0.0692820323027551,"",32.8765791864511,32,0.174404099283597,0.0304167898469228,-0.405079496526262,0.248619501099668,-0.087884932804252,-0.42971068615625,0.253940820547746,"r",NA,-0.087884932804252,0.185695338177052,0.0344827586206897
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","RA (Robist Nucleus of the Arcopallium)","Brood Size","Neuroanatomy","brain region absolute","Groupsize","Intra","Captive","mean",32,1,"Developmental",NA,"no",20,12,0.21,0.01,0.22,0.01,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es154","table","1611","a1",NA,-0.116391031345783,NA,NA,NA,0.0447213595499958,0.0346410161513775,"",32.7817718910072,32,0.174656111946729,0.0305047574403482,-0.429465087421539,0.221657675048744,-0.116920923228541,-0.459240612323925,0.225398765866843,"r",NA,-0.116920923228541,0.185695338177052,0.0344827586206897
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","LMAN (Lateral Magnocullular Nucleus of the Anterior Nidopallium)","Brood Size","Neuroanatomy","brain region absolute","Groupsize","Intra","Captive","mean",32,1,"Developmental",NA,"no",20,12,0.09,0.001,0.1,0.001,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es155","table","1611","a1",NA,-0.76068664534764,NA,NA,NA,0.00447213595499958,0.00346410161513775,"",19.9725700224361,32,0.223760293894014,0.0500686691235356,-0.892971666513205,-0.507443441582912,-0.997842675418404,-1.43640479262077,-0.559280558216038,"r",NA,-0.997842675418404,0.185695338177052,0.0344827586206897
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","Song Learning","Brood Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",34,1,"Developmental",NA,"no",14,20,0.84,0.05,0.89,0.03,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es156","table","1611","a1",NA,-0.154063467578518,NA,NA,NA,0.187082869338697,0.134164078649987,"",34.5916494018436,34,0.170025619034398,0.0289087111280303,-0.453060173870942,0.176089378183055,-0.155300053721872,-0.488544143478421,0.177944036034676,"r",NA,-0.155300053721872,0.179605302026775,0.032258064516129
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","Brain Mass","Brood Size","Neuroanatomy","brain size absolute","Groupsize","Intra","Captive","mean",34,1,"Developmental",NA,"no",14,20,459.2,6.49,487.2,6.06,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es157","table","1611","a1",NA,-0.468395591750331,NA,NA,NA,24.2833564401629,27.1011438872975,"",30.8107450859127,34,0.180156070077312,0.0324562095857013,-0.696830377863066,-0.153686170168354,-0.508013015159055,-0.86111242410686,-0.154913606211249,"r",NA,-0.508013015159055,0.179605302026775,0.032258064516129
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","HVC (High Vocal Centre)","Brood Size","Neuroanatomy","brain region absolute","Groupsize","Intra","Captive","mean",34,1,"Developmental",NA,"no",14,20,0.32,0.02,0.31,0.01,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es158","table","1611","a1",NA,0.0833472877304617,NA,NA,NA,0.0748331477354788,0.0447213595499958,"",34.8814932842045,34,0.169317740988885,0.0286684974135793,-0.243334630560662,0.393046231410031,0.083541094328364,-0.248315579953533,0.415397768610261,"r",NA,0.083541094328364,0.179605302026775,0.032258064516129
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","RA (Robist Nucleus of the Arcopallium)","Brood Size","Neuroanatomy","brain region absolute","Groupsize","Intra","Captive","mean",34,1,"Developmental",NA,"no",14,20,0.21,0.01,0.21,0.01,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es159","table","1611","a1",NA,0,NA,NA,NA,0.0374165738677394,0.0447213595499958,"",35,34,0.169030850945703,0.0285714285714286,-0.319683355103152,0.319683355103152,0,-0.331294380129737,0.331294380129737,"r",NA,0,0.179605302026775,0.032258064516129
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","LMAN (Lateral Magnocullular Nucleus of the Anterior Nidopallium)","Brood Size","Neuroanatomy","brain region absolute","Groupsize","Intra","Captive","mean",34,1,"Developmental",NA,"no",14,20,0.09,0.001,0.09,0.001,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es160","table","1611","a1",NA,0,NA,NA,NA,0.00374165738677394,0.00447213595499958,"",35,34,0.169030850945703,0.0285714285714286,-0.319683355103152,0.319683355103152,0,-0.331294380129737,0.331294380129737,"r",NA,0,0.179605302026775,0.032258064516129
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","Song Learning","Brood Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",26,1,"Developmental",NA,"no",14,12,0.84,0.05,0.84,0.06,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es161","table","1611","a1",NA,0,NA,NA,NA,0.187082869338697,0.207846096908265,"",27,26,0.192450089729875,0.037037037037037,-0.360269222595564,0.360269222595564,0,-0.377195244692057,0.377195244692057,"r",NA,0,0.208514414057075,0.0434782608695652
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","Brain Mass","Brood Size","Neuroanatomy","brain size absolute","Groupsize","Intra","Captive","mean",26,1,"Developmental",NA,"no",14,12,459.2,6.49,475.1,12.3,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es162","table","1611","a1",NA,-0.227462228565585,NA,NA,NA,24.2833564401629,42.6084498661944,"",26.3095300135875,26,0.194959074707545,0.0380090408108222,-0.546673344722712,0.149472827027784,-0.231511592765966,-0.613624357652008,0.150601172120077,"r",NA,-0.231511592765966,0.208514414057075,0.0434782608695652
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","HVC (High Vocal Centre)","Brood Size","Neuroanatomy","brain region absolute","Groupsize","Intra","Captive","mean",26,1,"Developmental",NA,"no",14,12,0.32,0.02,0.32,0.02,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es163","table","1611","a1",NA,0,NA,NA,NA,0.0748331477354788,0.0692820323027551,"",27,26,0.192450089729875,0.037037037037037,-0.360269222595564,0.360269222595564,0,-0.377195244692057,0.377195244692057,"r",NA,0,0.208514414057075,0.0434782608695652
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","RA (Robist Nucleus of the Arcopallium)","Brood Size","Neuroanatomy","brain region absolute","Groupsize","Intra","Captive","mean",26,1,"Developmental",NA,"no",14,12,0.21,0.01,0.22,0.01,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es164","table","1611","a1",NA,-0.136532492199453,NA,NA,NA,0.0374165738677394,0.0346410161513775,"",26.755385476946,26,0.193327837805105,0.0373756528703971,-0.474844009160203,0.236935768106516,-0.137390482098993,-0.516306081406001,0.241525117208014,"r",NA,-0.137390482098993,0.208514414057075,0.0434782608695652
"Gil et al","Early condition, song learning, and the volume of song brain nuclei in the zebra finch (Taeniopygia guttata)",2006,"Journal of Neurobiology","Madrid, Spain","Aves","Passeriformes","Taeniopygia guttata","Other","Aves","LMAN (Lateral Magnocullular Nucleus of the Anterior Nidopallium)","Brood Size","Neuroanatomy","brain region absolute","Groupsize","Intra","Captive","mean",26,1,"Developmental",NA,"no",14,12,0.09,0.001,0.1,0.001,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper30","study31","es165","table","1611","a1",NA,-0.809392049690246,NA,NA,NA,0.00374165738677394,0.00346410161513775,"",14.3349699418166,26,0.264120193443822,0.0697594765848022,-0.927881027528641,-0.542433829653034,-1.12526374066277,-1.64292980740241,-0.607597673923126,"r",NA,-1.12526374066277,0.208514414057075,0.0434782608695652
"Heimer-McGinn et al","Social housing enhances acquisition of task set independently of environmental enrichment: A longitudinal study in the Barnes maze",2020,"Learning & Behavior","Rhode Island, USA","Mammalia","Rodentia","Rattus norvegicus","Other","Mammalia","Spatial Learning","Social Housing","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",19,1,"Developmental",NA,"yes",9,10,3.85760517799353,1.16504854368932,4.97087378640777,1.30994026052282,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper105","study107","es575","figure","327","2b","paper105_study107_es575_2b",0.407998503052047,NA,NA,NA,1.16504854368932,1.30994026052282,"",18.2750321322839,19,0.233921922940555,0.054719466032207,-0.71222557892734,0.0252655110339381,-0.433207655017526,-0.891686199175368,0.0252708891403156,"r",NA,0.433207655017526,0.25,0.0625
