"Author","Title","Year","Journal","Location","Taxonomic_group_class","Taxonomic_order","Taxonomic_group_species","Primates","Mammals_Aves_Other","Measure_of_cognition","Measure_of_sociality","Cognitive_Ability_neuroanatomy_or_both","Cognitive_Ability_detailed","Sociality","Intra_inter_both","Captive_or_wild","Stats","Sample_size","Sample_size_species","Design","r","reverse","Sample_size_group1","Sample_size_group2","mean_grp1","dispersion_grp1","mean_grp2","dispersion_grp2","dispersion_type","ci_T","proportion_grp1","proportion_grp2","F","T","df","dferror","D","v","pearsonr_p","z","Source","Shared_control","Shared_treatment","paperid","studyid","esid","data_source","data_page","source_ref","figure_name","yi","CI","CI_low","CI_high","sd1","se","var","ci.lo","ci.hi","row_id","vi","r_regt","yi_zr","se_zr","vi_zr"
"Arsznov & Sakai","Pride diaries: Sex, brain size and sociality in the African lion (Panthera leo) and cougar (Puma concolor)",2012,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Panthera leo","Other","Mammalia","Subcortical Volume (AC)","Sex","Neuroanatomy","brain region absolute","Broadsociality","Intra","Unknown","mean",14,1,"Intra",NA,"no",6,8,24347.02,4486.73,16632.3,5832.82,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper03","study03","es32","table","282","1",NA,NA,NA,NA,NA,4486.73,NA,NA,NA,NA,7,NA,NA,NA,0.301511344577764,0.0909090909090909
"Arsznov & Sakai","Pride diaries: Sex, brain size and sociality in the African lion (Panthera leo) and cougar (Puma concolor)",2012,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Panthera leo","Other","Mammalia","Subcortical Volume (PC)","Sex","Neuroanatomy","brain region absolute","Broadsociality","Intra","Unknown","mean",14,1,"Intra",NA,"no",6,8,98152.31,12807.58,117347.77,13443.04,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper03","study03","es33","table","282","1",NA,NA,NA,NA,NA,12807.58,NA,NA,NA,NA,8,NA,NA,NA,0.301511344577764,0.0909090909090909
"Liker & Bókony","Larger groups are more successful in innovative problem solving in house sparrows",2009,"Proceedings of the National Academy of Sciences of the United States of America","Veszprém, Hungary","Aves","Passeriformes","Passer domesticus","Other","Aves","Problem solving","Group Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",14,1,"Intra",NA,"no",7,7,2.71,0.42,0.29,0.18,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper49","study50","es275","table","7895","2",NA,NA,NA,NA,NA,1.11121555064713,NA,NA,NA,NA,9,NA,NA,NA,0.301511344577764,0.0909090909090909
"Liker & Bókony","Larger groups are more successful in innovative problem solving in house sparrows",2009,"Proceedings of the National Academy of Sciences of the United States of America","Veszprém, Hungary","Aves","Passeriformes","Passer domesticus","Other","Aves","Problem solving","Group Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",14,1,"Intra",NA,"no",7,7,0.43,0.04,0.14,0.09,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper49","study50","es276","table","7895","2",NA,NA,NA,NA,NA,0.105830052442584,NA,NA,NA,NA,10,NA,NA,NA,0.301511344577764,0.0909090909090909
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Midbrain","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Captive","mean",19,1,"Intra",NA,"no",9,10,276,61.2,213,41,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es336","table","s1",NA,NA,NA,NA,NA,NA,61.2,NA,NA,NA,NA,11,NA,NA,NA,0.25,0.0625
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Antennal Lobe","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Captive","mean",19,1,"Intra",NA,"no",9,10,26.3,4.08,24.8,4.08,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es337","table","s1",NA,NA,NA,NA,NA,NA,4.08,NA,NA,NA,NA,12,NA,NA,NA,0.25,0.0625
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Primary Calyx","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Captive","mean",19,1,"Intra",NA,"no",9,10,18.1,5.18,12.1,2.81,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es338","table","s1",NA,NA,NA,NA,NA,NA,5.18,NA,NA,NA,NA,13,NA,NA,NA,0.25,0.0625
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Accessory Calyx","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Captive","mean",19,1,"Intra",NA,"no",9,10,5.6,1.06,4.04,0.625,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es339","table","s1",NA,NA,NA,NA,NA,NA,1.06,NA,NA,NA,NA,14,NA,NA,NA,0.25,0.0625
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Mushroom Body Lobes","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Captive","mean",19,1,"Intra",NA,"no",9,10,10.2,2.21,7.49,1.19,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es340","table","s1",NA,NA,NA,NA,NA,NA,2.21,NA,NA,NA,NA,15,NA,NA,NA,0.25,0.0625
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Central Complex","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Captive","mean",19,1,"Intra",NA,"no",9,10,9.51,1.78,7.15,1.21,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es341","table","s1",NA,NA,NA,NA,NA,NA,1.78,NA,NA,NA,NA,16,NA,NA,NA,0.25,0.0625
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Lamina","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,62.2,13.1,57.1,6.32,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es342","table","s1",NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,17,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Medulla","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Captive","mean",19,1,"Intra",NA,"no",9,10,160,32.7,133,18,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es343","table","s1",NA,NA,NA,NA,NA,NA,32.7,NA,NA,NA,NA,18,NA,NA,NA,0.25,0.0625
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Lobula","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Captive","mean",19,1,"Intra",NA,"no",9,10,38.5,8.34,30,5.52,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es344","table","s1",NA,NA,NA,NA,NA,NA,8.34,NA,NA,NA,NA,19,NA,NA,NA,0.25,0.0625
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Optic Lobe","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,261,53.6,218,27,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es345","table","s1",NA,NA,NA,NA,NA,NA,53.6,NA,NA,NA,NA,20,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Total Brain","Sociality","Neuroanatomy","brain size absolute","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,537,111,424,62.4,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es346","table","s1",NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,21,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Midbrain (%)","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,51.3,2.17,48.4,1.92,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es347","table","s2",NA,NA,NA,NA,NA,NA,2.17,NA,NA,NA,NA,22,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Antennal Lobe (%)","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,4.96,0.449,5.7,0.373,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es348","table","s2",NA,NA,NA,NA,NA,NA,0.449,NA,NA,NA,NA,23,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Primary calyx (%)","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,3.33,0.35,2.72,0.251,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es349","table","s2",NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,24,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Accessory Calyx (%)","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,1.05,0.0944,0.932,0.0779,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es350","table","s2",NA,NA,NA,NA,NA,NA,0.0944,NA,NA,NA,NA,25,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Mushroom Body Lobes (%)","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,1.89,0.199,1.75,0.141,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es351","table","s2",NA,NA,NA,NA,NA,NA,0.199,NA,NA,NA,NA,26,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Central Complex (%)","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,1.78,0.0852,1.64,0.0916,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es352","table","s2",NA,NA,NA,NA,NA,NA,0.0852,NA,NA,NA,NA,27,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Lamina (%)","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,11.6,0.749,13.6,1.68,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es353","table","s2",NA,NA,NA,NA,NA,NA,0.749,NA,NA,NA,NA,28,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Medulla (%)","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,29.9,1.51,31.1,1.25,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es354","table","s2",NA,NA,NA,NA,NA,NA,1.51,NA,NA,NA,NA,29,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Lobulla (%)","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,7.17,0.389,6.91,0.351,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es355","table","s2",NA,NA,NA,NA,NA,NA,0.389,NA,NA,NA,NA,30,NA,NA,NA,0.258198889747161,0.0666666666666667
"Ott & Rogers","Gregarious desert locusts have substantially larger brains with altered proportions compared with the solitarious phase",2010,"Proceedings of the Royal Society B: Biological Sciences","Cambridge, UK","Insecta","Orthoptera","Schistocerca gregaria","Other","Other","Optic Lobe (%)","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Captive","mean",18,1,"Intra",NA,"no",9,9,48.7,2.17,51.6,1.92,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper66","study68","es356","table","s2",NA,NA,NA,NA,NA,NA,2.17,NA,NA,NA,NA,31,NA,NA,NA,0.258198889747161,0.0666666666666667
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Total Brain Volume","Sociality","Neuroanatomy","brain size absolute","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,793.915,240.7478,809.56,132.45,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es440","supplementary table",NA,"s1",NA,NA,NA,NA,NA,240.7478,NA,NA,NA,NA,32,NA,NA,NA,0.235702260395516,0.0555555555555556
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Antennal Lobes","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,20.78,4.1294,22.3,2.22,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es441","supplementary table",NA,"s1",NA,NA,NA,NA,NA,4.1294,NA,NA,NA,NA,33,NA,NA,NA,0.235702260395516,0.0555555555555556
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Optic Lobes","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,81.435,15.5486,90.65,8.67,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es442","supplementary table",NA,"s1",NA,NA,NA,NA,NA,15.5486,NA,NA,NA,NA,34,NA,NA,NA,0.235702260395516,0.0555555555555556
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Mushroom Body Neuropil","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,57.395,11.0636,61.74,6.36,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es443","supplementary table",NA,"s1",NA,NA,NA,NA,NA,11.0636,NA,NA,NA,NA,35,NA,NA,NA,0.235702260395516,0.0555555555555556
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Kenyon Cell Bodies","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,22.675,3.1567,26.01,3.48,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es444","supplementary table",NA,"s1",NA,NA,NA,NA,NA,3.1567,NA,NA,NA,NA,36,NA,NA,NA,0.235702260395516,0.0555555555555556
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Central Complex","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,2.035,0.5654,2.2,0.36,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es445","supplementary table",NA,"s1",NA,NA,NA,NA,NA,0.5654,NA,NA,NA,NA,37,NA,NA,NA,0.235702260395516,0.0555555555555556
